Title,Currency,amountAwarded,awardDate,Organisation,fundingOrg,fundingDept,grantProgramme
Grant to Voluntary Action Harrow Ltd,GBP,9940,2014-11-03,Voluntary Action Harrow Ltd,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to UP Projects,GBP,10000,2014-11-03,UP Projects,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to Trees for Cities,GBP,10000,2014-11-03,Trees for Cities,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to The Vine Project,GBP,9991,2014-11-03,The Vine Project,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to The National Trust,GBP,10000,2014-11-03,The National Trust,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to The Conservation Volunteers,GBP,10000,2014-11-03,The Conservation Volunteers,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to Significant Seams CIC,GBP,10000,2014-11-03,Significant Seams CIC,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to London Youth Games Foundation,GBP,10000,2014-11-03,London Youth Games Foundation,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to Isledon Here To,GBP,9781.8,2014-11-03,Here to Islington,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to Here to Islington,GBP,9782,2014-11-03,Here to Islington,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to Haringey Mencap,GBP,9850,2014-11-03,Haringey Mencap,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to Groundwork London,GBP,10000,2014-11-03,Groundwork London,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to Deen City Farm,GBP,9208,2014-11-03,Deen City Farm,Greater London Authority,Communities and Intelligence,NA
Grant to Croydon Voluntary Action,GBP,10000,2014-11-03,Croydon Voluntary Action,Greater London Authority,Communities and Intelligence,NA
Grant to Cordwainers Grow,GBP,9940,2014-11-03,Cordwainers Grow,Greater London Authority,Communities and Intelligence,NA
Grant to Bee Collective,GBP,10000,2014-11-03,Bee Collective,Greater London Authority,Communities and Intelligence,NA
Grant to Age UK Waltham Forest,GBP,8575,2014-11-03,Age UK Waltham Forest,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to Age UK Hammersmith & Fulham,GBP,10000,2014-11-03,Age UK Hammersmith & Fulham,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to LB Ealing,GBP,5775000,2014-11-04,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Croydon,GBP,959000,2014-11-05,LB Croydon,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to City Year,GBP,150476,2014-11-07,City Year,Greater London Authority,Communities and Intelligence,NA
Grant to Providence Row,GBP,9982,2014-11-13,Providence Row,Greater London Authority,Communities and Intelligence,Speed Volunteering project
