"","Title","Currency","amountAwarded","awardDate","Organisation","fundingOrg","fundingDept","grantProgramme","amountRequested","orgSize"
"1","Grant to Voluntary Action Harrow Ltd","GBP",9940,2014-11-03,"Voluntary Action Harrow Ltd","Greater London Authority","Communities and Intelligence","Speed Volunteering project",12036.5676611458,"med"
"2","Grant to UP Projects","GBP",10000,2014-11-03,"UP Projects","Greater London Authority","Communities and Intelligence","Speed Volunteering project",12016.4046197878,"med"
"3","Grant to Trees for Cities","GBP",10000,2014-11-03,"Trees for Cities","Greater London Authority","Communities and Intelligence","Speed Volunteering project",11879.1443524563,"small"
"4","Grant to The Vine Project","GBP",9991,2014-11-03,"The Vine Project","Greater London Authority","Communities and Intelligence","Speed Volunteering project",12899.5006089545,"med"
"5","Grant to The National Trust","GBP",10000,2014-11-03,"The National Trust","Greater London Authority","Communities and Intelligence","Speed Volunteering project",11954.5642543851,"med"
"6","Grant to The Conservation Volunteers","GBP",10000,2014-11-03,"The Conservation Volunteers","Greater London Authority","Communities and Intelligence","Speed Volunteering project",13505.5413589312,"large"
"7","Grant to Significant Seams CIC","GBP",10000,2014-11-03,"Significant Seams CIC","Greater London Authority","Communities and Intelligence","Speed Volunteering project",9108.73374715585,"med"
"8","Grant to London Youth Games Foundation","GBP",10000,2014-11-03,"London Youth Games Foundation","Greater London Authority","Communities and Intelligence","Speed Volunteering project",14599.3225830013,"large"
"9","Grant to Isledon Here To","GBP",9781.8,2014-11-03,"Here to Islington","Greater London Authority","Communities and Intelligence","Speed Volunteering project",15626.0033826765,"small"
"10","Grant to Here to Islington","GBP",9782,2014-11-03,"Here to Islington","Greater London Authority","Communities and Intelligence","Speed Volunteering project",10721.9126912427,"large"
"11","Grant to Haringey Mencap","GBP",9850,2014-11-03,"Haringey Mencap","Greater London Authority","Communities and Intelligence","Speed Volunteering project",11686.2033088176,"large"
"12","Grant to Groundwork London","GBP",10000,2014-11-03,"Groundwork London","Greater London Authority","Communities and Intelligence","Speed Volunteering project",11078.970064428,"large"
"13","Grant to Deen City Farm","GBP",9208,2014-11-03,"Deen City Farm","Greater London Authority","Communities and Intelligence",NA,8986.22088602499,"large"
"14","Grant to Croydon Voluntary Action","GBP",10000,2014-11-03,"Croydon Voluntary Action","Greater London Authority","Communities and Intelligence",NA,11079.0445017211,"med"
"15","Grant to Cordwainers Grow","GBP",9940,2014-11-03,"Cordwainers Grow","Greater London Authority","Communities and Intelligence",NA,15231.4842492212,"med"
"16","Grant to Bee Collective","GBP",10000,2014-11-03,"Bee Collective","Greater London Authority","Communities and Intelligence",NA,8582.89534368025,"large"
"17","Grant to Age UK Waltham Forest","GBP",8575,2014-11-03,"Age UK Waltham Forest","Greater London Authority","Communities and Intelligence","Speed Volunteering project",10687.4940038422,"small"
"18","Grant to Age UK Hammersmith & Fulham","GBP",10000,2014-11-03,"Age UK Hammersmith & Fulham","Greater London Authority","Communities and Intelligence","Speed Volunteering project",11755.7097211109,"small"
"19","Grant to LB Ealing","GBP",5775000,2014-11-04,"LB Ealing","Greater London Authority","Development, Enterprise & Environment",NA,7810588.75701156,"large"
"20","Grant to LB Croydon","GBP",959000,2014-11-05,"LB Croydon","Greater London Authority","Development, Enterprise & Environment",NA,1404242.7197451,"med"
"21","Grant to City Year","GBP",150476,2014-11-07,"City Year","Greater London Authority","Communities and Intelligence",NA,182983.823233362,"med"
"22","Grant to Providence Row","GBP",9982,2014-11-13,"Providence Row","Greater London Authority","Communities and Intelligence","Speed Volunteering project",9444.2182004806,"med"
"23","Grant to The Silvertown Partnership","GBP",1.2e+07,2014-11-17,"The Silvertown Partnership","Greater London Authority","Housing and Land",NA,17433319.8430889,"small"
"24","Grant to Good Gym Ltd","GBP",10000,2014-11-26,"Good Gym Ltd","Greater London Authority","Communities and Intelligence",NA,11983.0023081576,"small"
"25","Grant to Tempus Energy Limited","GBP",250000,2014-11-28,"Tempus Energy Limited","Greater London Authority","Development, Enterprise & Environment",NA,202649.300747817,"small"
"26","Grant to Rural Urban Synthesis Society Limited","GBP",186690,2014-12-01,"Rural Urban Synthesis Society Limited","Greater London Authority","Housing and Land",NA,229743.488915836,"small"
"27","Grant to Heart of London Business Alliance","GBP",35000,2014-12-01,"Heart of London Business Alliance","Greater London Authority","Development, Enterprise & Environment",NA,22776.7746291081,"large"
"28","Grant to Guy Fox History Project Ltd","GBP",10000,2014-12-03,"Guy Fox History Project Ltd","Greater London Authority","Communities and Intelligence","Speed Volunteering project",12912.3599361759,"med"
"29","Grant to SME Wholesale Finance Ltd","GBP",2.5e+07,2014-12-04,"SME Wholesale Finance Ltd","Greater London Authority","Development, Enterprise & Environment",NA,31145673.031696,"large"
"30","Grant to Amateur Swimming Association","GBP",79200,2014-12-04,"Amateur Swimming Association","Greater London Authority","Communities and Intelligence",NA,64746.4534449367,"large"
"31","Grant to Peabody Group","GBP",3e+05,2014-12-15,"Peabody Trust","Greater London Authority","Development, Enterprise & Environment",NA,277394.928991271,"med"
"32","Grant to London Work Based Learning Alliance","GBP",1e+05,2014-12-19,"London Work Based Learning Alliance","Greater London Authority","Development, Enterprise & Environment",NA,76478.8296363223,"large"
"33","Grant to LB Croydon","GBP",24692,2014-12-19,"LB Croydon","Greater London Authority","Development, Enterprise & Environment",NA,29613.0933438073,"small"
"34","Grant to The Sonshine Club","GBP",1500,2015-01-01,"The Sonshine Club","Greater London Authority","Communities and Intelligence","FreeSport",1271.01562334999,"med"
"35","Grant to RENAISI","GBP",100233.71,2015-01-01,"RENAISI","Greater London Authority","Communities and Intelligence",NA,93898.8583184739,"small"
"36","Grant to LB Waltham Forest","GBP",91376.95,2015-01-01,"LB Waltham Forest","Greater London Authority","Communities and Intelligence",NA,110787.154357273,"med"
"37","Grant to LB Harrow","GBP",110359.02,2015-01-01,"LB Harrow","Greater London Authority","Communities and Intelligence",NA,154538.022452659,"med"
"38","Grant to Harrow Athletic Club (AC)","GBP",1500,2015-01-01,"Harrow Athletic Club (AC)","Greater London Authority","Communities and Intelligence","FreeSport",2002.81384073985,"med"
"39","Grant to Embrace UK Community Support Centre","GBP",1500,2015-01-01,"Embrace UK Community Support Centre","Greater London Authority","Communities and Intelligence","FreeSport",1812.39944731193,"med"
"40","Grant to Camden School for Girls","GBP",83241.61,2015-01-01,"Camden School for Girls","Greater London Authority","Communities and Intelligence",NA,43630.0792575995,"med"
"41","Grant to Asian People's Disability Alliance","GBP",1500,2015-01-01,"Asian People's Disability Alliance","Greater London Authority","Communities and Intelligence","FreeSport",2060.46535404051,"large"
"42","Grant to Rockdale Trust","GBP",1334,2015-01-02,"Rockdale Trust","Greater London Authority","Communities and Intelligence","FreeSport",2024.5516136801,"med"
"43","Grant to Track Academy","GBP",1500,2015-01-03,"Track Academy","Greater London Authority","Communities and Intelligence","FreeSport",1650.98559679441,"large"
"44","Grant to St. Hilda's East","GBP",1500,2015-01-03,"St. Hilda's East","Greater London Authority","Communities and Intelligence","FreeSport",2449.18820860332,"small"
"45","Grant to Lambeth Table Tennis Club","GBP",1500,2015-01-03,"Lambeth Table Tennis Club","Greater London Authority","Communities and Intelligence","FreeSport",1757.965498365,"large"
"46","Grant to Dagenham Bangladeshi Women & Children's Association","GBP",1500,2015-01-03,"Dagenham Bangladeshi Women & Children's Association","Greater London Authority","Communities and Intelligence","FreeSport",1549.8916855304,"large"
"47","Grant to The Calthorpe Project","GBP",1500,2015-01-04,"The Calthorpe Project","Greater London Authority","Communities and Intelligence","FreeSport",1941.34755628494,"large"
"48","Grant to Pro Touch Soccer Academy","GBP",1500,2015-01-04,"Pro Touch Soccer Academy","Greater London Authority","Communities and Intelligence","FreeSport",1175.302673919,"med"
"49","Grant to Grasshoppers RFC","GBP",1500,2015-01-04,"Grasshoppers RFC","Greater London Authority","Communities and Intelligence","FreeSport",2262.48856755955,"med"
"50","Grant to Aspire","GBP",1100,2015-01-04,"Aspire","Greater London Authority","Communities and Intelligence","FreeSport",902.077477627736,"large"
"51","Grant to Tower Hamlets Judo Club","GBP",1500,2015-01-05,"Tower Hamlets Judo Club","Greater London Authority","Communities and Intelligence","FreeSport",1860.24328108843,"large"
"52","Grant to Tower Hamlets Badminton Academy","GBP",1500,2015-01-05,"Tower Hamlets Badminton Academy","Greater London Authority","Communities and Intelligence","FreeSport",1118.45702958386,"small"
"53","Grant to Sycamore Trust","GBP",1480,2015-01-05,"Sycamore Trust","Greater London Authority","Communities and Intelligence","FreeSport",1583.39053628111,"med"
"54","Grant to Step by Step London","GBP",1500,2015-01-05,"Step by Step London","Greater London Authority","Communities and Intelligence","FreeSport",1108.81702156223,"med"
"55","Grant to Southall Self Defence Club","GBP",1500,2015-01-05,"Southall Self Defence Club","Greater London Authority","Communities and Intelligence","FreeSport",1594.58953908693,"med"
"56","Grant to South East London Tennis CIC","GBP",1305,2015-01-05,"South East London Tennis CIC","Greater London Authority","Communities and Intelligence","FreeSport",975.371590641452,"large"
"57","Grant to Newham College of Further Education","GBP",1500,2015-01-05,"Newham College of Further Education","Greater London Authority","Communities and Intelligence","FreeSport",1929.68194864101,"large"
"58","Grant to Middle Eastern Women & Society Organisation","GBP",1500,2015-01-05,"Middle Eastern Women & Society Organisation","Greater London Authority","Communities and Intelligence","FreeSport",1758.84952155651,"med"
"59","Grant to Kingston College","GBP",615,2015-01-05,"Kingston College","Greater London Authority","Communities and Intelligence","FreeSport",893.356673638003,"small"
"60","Grant to Holloway Neighbourhood Group","GBP",1500,2015-01-05,"Holloway Neighbourhood Group","Greater London Authority","Communities and Intelligence","FreeSport",2178.59991004718,"large"
"61","Grant to Harrow Vultrix Korfball Club","GBP",1500,2015-01-05,"Harrow Vultrix Korfball Club","Greater London Authority","Communities and Intelligence","FreeSport",2244.93072587512,"small"
"62","Grant to Friendship Society/A & V Rhythmic Club","GBP",1437.85,2015-01-05,"Friendship Society/A & V Rhythmic Club","Greater London Authority","Communities and Intelligence","FreeSport",958.805220676569,"small"
"63","Grant to England Athletics","GBP",1030,2015-01-05,"England Athletics","Greater London Authority","Communities and Intelligence","FreeSport",1060.69564790024,"large"
"64","Grant to East London Dance","GBP",1500,2015-01-05,"East London Dance","Greater London Authority","Communities and Intelligence","FreeSport",2126.73664043109,"large"
"65","Grant to Dynamic Sports Academy","GBP",950,2015-01-05,"Dynamic Sports Academy","Greater London Authority","Communities and Intelligence","FreeSport",1220.07822001305,"large"
"66","Grant to Bede House Association","GBP",700,2015-01-05,"Bede House Association","Greater London Authority","Communities and Intelligence","FreeSport",959.645171954232,"large"
"67","Grant to Barking and Dagenham Somali Women's Association","GBP",1250,2015-01-05,"Barking and Dagenham Somali Women's Association","Greater London Authority","Communities and Intelligence","FreeSport",1254.12217148896,"med"
"68","Grant to Barking and Dagenham Somali Women's Association","GBP",1250,2015-01-05,"Barking and Dagenham Somali Women's Association","Greater London Authority","Communities and Intelligence","FreeSport",1621.95062241772,"small"
"69","Grant to Activiteens","GBP",1498.28,2015-01-05,"Activiteens","Greater London Authority","Communities and Intelligence","FreeSport",1509.48893796911,"med"
"70","Grant to South Grove Primary School","GBP",580,2015-01-06,"South Grove Primary School","Greater London Authority","Communities and Intelligence","FreeSport",872.670077456997,"large"
"71","Grant to Silverfit Ltd","GBP",1481.5,2015-01-06,"Silverfit Ltd","Greater London Authority","Communities and Intelligence","FreeSport",2028.55233507127,"small"
"72","Grant to Newham All Star Sports Academy (NASSA)","GBP",1500,2015-01-06,"Newham All Star Sports Academy (NASSA)","Greater London Authority","Communities and Intelligence","FreeSport",1433.29828797723,"med"
"73","Grant to 2TR Football Ltd","GBP",1430,2015-01-06,"2TR Football Ltd","Greater London Authority","Communities and Intelligence","FreeSport",2118.30080193354,"med"
"74","Grant to Slade Gardens Community Play Association","GBP",1500,2015-01-07,"Slade Gardens Community Play Association","Greater London Authority","Communities and Intelligence","FreeSport",1819.99051505469,"small"
"75","Grant to Parkwood Community Leisure","GBP",814,2015-01-07,"Parkwood Community Leisure","Greater London Authority","Communities and Intelligence","FreeSport",1158.60370597397,"small"
